Model,Quantization,Batch Size,Context Length,Concurrent Users,VRAM (GB),Tokens per User (tok/s),Total Throughput (tok/s)
qwen3:32b-q8_0,Q8,1,2K,1,67.9,88.0,88.0
qwen3:32b-q8_0,Q8,1,2K,4,67.9,88.0,88.0
qwen3:32b-q8_0,Q8,1,2K,8,70.65,88.0,88.0
qwen3:32b-q8_0,Q8,1,2K,16,70.65,88.0,88.0
qwen3:32b-q8_0,Q8,1,2K,64,70.65,88.0,88.0
qwen3:32b-q8_0,Q8,1,4K,1,70.65,88.0,88.0
qwen3:32b-q8_0,Q8,1,4K,4,76.13,77.0,77.0
qwen3:32b-q8_0,Q8,1,4K,8,76.13,77.0,77.0
qwen3:32b-q8_0,Q8,1,4K,16,76.13,77.0,77.0
qwen3:32b-q8_0,Q8,1,4K,64,76.13,77.0,77.0
qwen3:32b-q8_0,Q8,1,8K,1,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,8K,4,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,8K,8,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,8K,16,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,8K,64,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,16K,1,87.11,70.0,70.0
qwen3:32b-q8_0,Q8,1,16K,4,109.06,67.0,67.0
qwen3:32b-q8_0,Q8,1,16K,8,109.06,67.0,67.0
qwen3:32b-q8_0,Q8,1,16K,16,109.06,67.0,67.0
qwen3:32b-q8_0,Q8,1,16K,64,109.06,67.0,67.0
qwen3:32b-q8_0,Q8,1,32K,1,152.96,,
qwen3:32b-q8_0,Q8,1,32K,4,152.96,,
qwen3:32b-q8_0,Q8,1,32K,8,152.96,,
qwen3:32b-q8_0,Q8,1,32K,16,152.96,,
qwen3:32b-q8_0,Q8,1,32K,64,152.96,,
qwen3:32b-q8_0,Q8,4,2K,1,152.96,,
qwen3:32b-q8_0,Q8,4,2K,4,83.82,88.0,329.0
qwen3:32b-q8_0,Q8,4,2K,8,83.82,88.0,329.0
qwen3:32b-q8_0,Q8,4,2K,16,83.82,88.0,329.0
qwen3:32b-q8_0,Q8,4,2K,64,83.82,88.0,329.0
qwen3:32b-q8_0,Q8,4,4K,1,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,4K,4,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,4K,8,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,4K,16,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,4K,64,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,8K,1,102.47,77.0,288.0
qwen3:32b-q8_0,Q8,4,8K,4,139.79,63.0,236.0
qwen3:32b-q8_0,Q8,4,8K,8,139.79,63.0,236.0
qwen3:32b-q8_0,Q8,4,8K,16,139.79,63.0,236.0
qwen3:32b-q8_0,Q8,4,8K,64,139.79,63.0,236.0
qwen3:32b-q8_0,Q8,4,16K,1,214.41,,
qwen3:32b-q8_0,Q8,4,16K,4,214.41,,
qwen3:32b-q8_0,Q8,4,16K,8,214.41,,
qwen3:32b-q8_0,Q8,4,16K,16,214.41,,
qwen3:32b-q8_0,Q8,4,16K,64,214.41,,
qwen3:32b-q8_0,Q8,4,32K,1,214.41,,
qwen3:32b-q8_0,Q8,4,32K,4,363.66,,
qwen3:32b-q8_0,Q8,4,32K,8,363.66,,
qwen3:32b-q8_0,Q8,4,32K,16,363.66,,
qwen3:32b-q8_0,Q8,4,32K,64,363.66,,
qwen3:32b-q8_0,Q8,8,2K,1,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,2K,4,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,2K,8,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,2K,16,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,2K,64,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,4K,1,101.38,88.0,638.0
qwen3:32b-q8_0,Q8,8,4K,4,137.59,69.0,500.0
qwen3:32b-q8_0,Q8,8,4K,8,137.59,69.0,500.0
qwen3:32b-q8_0,Q8,8,4K,16,137.59,69.0,500.0
qwen3:32b-q8_0,Q8,8,4K,64,137.59,69.0,500.0
qwen3:32b-q8_0,Q8,8,8K,1,210.02,,
qwen3:32b-q8_0,Q8,8,8K,4,210.02,,
qwen3:32b-q8_0,Q8,8,8K,8,210.02,,
qwen3:32b-q8_0,Q8,8,8K,16,210.02,,
qwen3:32b-q8_0,Q8,8,8K,64,210.02,,
qwen3:32b-q8_0,Q8,8,16K,1,210.02,,
qwen3:32b-q8_0,Q8,8,16K,4,354.88,,
qwen3:32b-q8_0,Q8,8,16K,8,354.88,,
qwen3:32b-q8_0,Q8,8,16K,16,354.88,,
qwen3:32b-q8_0,Q8,8,16K,64,354.88,,
qwen3:32b-q8_0,Q8,8,32K,1,644.61,,
qwen3:32b-q8_0,Q8,8,32K,4,644.61,,
qwen3:32b-q8_0,Q8,8,32K,8,644.61,,
qwen3:32b-q8_0,Q8,8,32K,16,644.61,,
qwen3:32b-q8_0,Q8,8,32K,64,644.61,,
Gemma-3-27B-IT (FP16),FP16,1,2K,1,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,2K,4,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,2K,8,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,2K,16,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,2K,64,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,4K,1,65.16,95.0,95.0
Gemma-3-27B-IT (FP16),FP16,1,4K,4,67.09,84.0,84.0
Gemma-3-27B-IT (FP16),FP16,1,4K,8,67.09,84.0,84.0
